Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type,Lat,Long,project_water
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,C,D2,TD,LOS ANGELES  ,SWP,33.89290402,-118.1237533,SWP
CA1910019,"CERRITOS - CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP,33.86793421,-118.0687398,SWP
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,C,D2,TD,LOS ANGELES  ,GW,,,Neither 
CA1910021,LIBERTY UTILITIES - COMPTON,C,D3,T1,LOS ANGELES  ,SWP,33.90709631,-118.2518142,SWP
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,C,D4,T3,LOS ANGELES  ,SWP,34.05669204,-117.8213049,SWP
CA1910023,AVERYDALE MWC,C,D2,T1,LOS ANGELES  ,GW,,,Neither 
CA1910024,GSWC - CLAREMONT,C,D4,T3,LOS ANGELES  ,SWP,34.11478823,-117.7172967,SWP
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",C,D1,T1,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910026,"COMPTON-CITY, WATER DEPT.",C,D4,TD,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",C,D1,T1,LOS ANGELES  ,GW,,,Neither 
CA1910028,CRESCENTA VALLEY CWD,C,D4,T3,LOS ANGELES  ,SWP,34.22717591,-118.2381619,SWP
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,C,D2,Operator is not required,LOS ANGELES  ,GW,,,Neither 
CA1910030,GSWC - CULVER CITY,C,D4,T1,LOS ANGELES  ,SWP,34.00630997,-118.3943159,SWP
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,C,D4,There are no treatment plants,LOS ANGELES  ,SWP,34.20041531,-118.1719391,SWP
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,C,D5,T3,LOS ANGELES  ,SWP,33.83896437,-118.2705726,SWP
CA1910034,"DOWNEY - CITY, WATER DEPT.",C,D4,There are no treatment plants,LOS ANGELES  ,GW,,,Neither 
CA1910035,KINNELOA IRRIGATION DIST.,C,D3,TD,LOS ANGELES  ,GW,,,Neither 
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,C,D5,T3,LOS ANGELES  ,SWP,34.02234788,-118.1619728,SWP
CA1910038,"EL MONTE-CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,GW,,,Neither 
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,C,D5,T5,LOS ANGELES  ,GW,,,Neither 
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",C,D3,There are no treatment plants,LOS ANGELES  ,SWP,33.91695908,-118.4021266,SWP
CA1910041,THREE VALLEYS MWD,C,D4,T5,LOS ANGELES  ,SW,34.05817027,-117.8156253,SWP
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,GW,,,Neither 
CA1910043,"GLENDALE-CITY, WATER DEPT.",C,D5,T5,LOS ANGELES  ,SWP,34.17074847,-118.2440114,SWP
CA1910044,"GLENDORA-CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910045,ANTELOPE VALLEY EAST KERN WATER AGENCY,C,D4,T5,LOS ANGELES  ,SW,34.87636222,-118.0811573,SWP
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,C,D2,There are no treatment plants,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910047,HAWTHORNE-CITY WATER DEPT.,C,D3,T3,LOS ANGELES  ,SWP,33.91437116,-118.3473764,SWP
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",C,D4,T1,LOS ANGELES  ,SWP,33.979128,-118.2173868,SWP
CA1910050,"COMMERCE-CITY, WATER DEPT.",C,D2,T2,LOS ANGELES  ,SWP,33.98454348,-118.1504475,SWP
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP,33.95996958,-118.3453518,SWP
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,C,D4,T2,LOS ANGELES  ,SWP,33.99292219,-118.3591205,SWP
CA1910053,HEMLOCK MUTUAL WATER CO.,C,D2,TD,LOS ANGELES  ,GW,,,Neither 
CA1910054,LA CANADA IRRIGATION DIST.,C,D3,TD,LOS ANGELES  ,SWP,34.21738925,-118.2113262,SWP
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,C,D2,T2,LOS ANGELES  ,SWP,34.64887566,-118.3507192,SWP
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,C,D3,T2,LOS ANGELES  ,SWP,33.90385037,-118.0084672,SWP
CA1910060,LA PUENTE VALLEY CWD,C,D3,T3,LOS ANGELES  ,GW,,,Neither 
CA1910061,LAS FLORES WATER CO.,C,D2,There are no treatment plants,LOS ANGELES  ,SWP,34.19619975,-118.1311726,SWP
CA1910062,"LA VERNE, CITY WD",C,D4,T3,LOS ANGELES  ,SWP,34.12777088,-117.7620213,SWP
CA1910063,LINCOLN AVENUE WATER CO.,C,D4,T2,LOS ANGELES  ,SW,34.201416,-118.1517738,SWP
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,C,D2,TD,LOS ANGELES  ,GW,,,Neither 
CA1910065,LONG BEACH UTILITIES DEPARTMENT,C,D5,T5,LOS ANGELES  ,SWP,33.80445041,-118.1612201,SWP
CA1910066,LEISURE LAKE MOBILE ESTATES,C,D1,T2,LOS ANGELES  ,GW,,,Neither 
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",C,D5,T5,LOS ANGELES  ,SW,34.11708756,-118.4079676,SWP
CA1910070,LOS ANGELES CWWD 40 REG 4 & 34 LANCASTER,C,D5,T2,LOS ANGELES  ,SWP,34.65155621,-118.1774567,SWP
CA1910072,GSWC - WILLOWBROOK,C,D2,T1,LOS ANGELES  ,SWP,33.91971606,-118.2353429,SWP
CA1910073,"LOMITA-CITY, WATER DEPT.",C,D3,There are no treatment plants,LOS ANGELES  ,SWP,33.79456666,-118.3178298,SWP
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,C,D1,There are no treatment plants,LOS ANGELES  ,SWP,34.28977459,-118.3763047,SWP
CA1910077,GSWC - FLORENCE/GRAHAM,C,D3,T2,LOS ANGELES  ,SWP,33.96932686,-118.2440427,SWP
CA1910079,"LYNWOOD-CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP,33.92513169,-118.2022335,SWP
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,C,D1,T1,LOS ANGELES  ,GW,,,Neither 
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP,33.88940671,-118.3971101,SWP
CA1910084,MAYWOOD MUTUAL WATER CO. #1,C,D2,T1,LOS ANGELES  ,SWP,33.98512042,-118.1930235,SWP
CA1910085,MAYWOOD MUTUAL WATER CO. #2,C,D2,T1,LOS ANGELES  ,SWP,33.98672611,-118.1876743,SWP
CA1910086,MAYWOOD MUTUAL WATER CO. #3,C,D2,TD,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910087,METROPOLITAN WATER DIST. OF SO. CAL.,C,D5,T5,LOS ANGELES  ,SW,33.68670638,-117.7055233,SWP
CA1910090,"MONROVIA-CITY, WATER DEPT.",C,D4,T4,LOS ANGELES  ,GW,,,Neither 
CA1910091,MONTEBELLO LAND & WATER CO.,C,D2,T2,LOS ANGELES  ,GW,,,Neither 
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",C,D5,T4,LOS ANGELES  ,GW,,,Neither 
CA1910097,NORTHROP GRUMMAN CORP.,NTNC,D2,TD,LOS ANGELES  ,GW,,,Neither 
CA1910098,GSWC - NORWALK,C,D4,T2,LOS ANGELES  ,SWP,33.92179408,-118.068113,SWP
CA1910099,PARADISE RANCH MHP,C,D1,T1,LOS ANGELES  ,GW,,,Neither 
CA1910101,ORCHARD DALE WATER DISTRICT,C,D3,T2,LOS ANGELES  ,GWP,,,Neither 
CA1910102,PALMDALE WATER DIST.,C,D5,T5,LOS ANGELES  ,SW,34.55495134,-118.0751862,SWP
CA1910103,PALM RANCH IRRIGATION DIST.,C,D2,T2,LOS ANGELES  ,SWP,34.64446101,-118.2186567,SWP
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,C,D5,There are no treatment plants,LOS ANGELES  ,SWP,33.76581215,-118.3651076,SWP
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP,33.89783973,-118.1653055,SWP
CA1910108,CITY OF BELL GARDENS,C,D2,T2,LOS ANGELES  ,SWP,33.9719657,-118.1482374,SWP
CA1910117,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 2,C,D2,There are no treatment plants,LOS ANGELES  ,SWP,33.98392902,-118.1266401,SWP
CA1910124,PASADENA WATER AND POWER,C,D5,T4,LOS ANGELES  ,SWP,34.16104198,-118.1358115,SWP
CA1910125,PICO WD,C,D3,T2,LOS ANGELES  ,GW,,,Neither 
CA1910126,"POMONA - CITY, WATER DEPT.",C,D5,T5,LOS ANGELES  ,SW,34.05822907,-117.7599204,SWP
CA1910127,"COVINA-CITY, WATER DEPT.",C,D4,There are no treatment plants,LOS ANGELES  ,SWP,34.08483705,-117.8789377,SWP
CA1910128,COVINA IRRIGATING CO.,C,D4,T4,LOS ANGELES  ,SW,n/a,n/a,Neither 
CA1910130,QUARTZ HILL WATER DIST.,C,D4,T2,LOS ANGELES  ,SWP,34.65158706,-118.2151947,SWP
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,C,D5,T1,LOS ANGELES  ,SWP,33.85290491,-118.3809882,SWP
CA1910137,THE BOEING COMPANY - HDAIT,NTNC,D1,TD,LOS ANGELES  ,GW,,,Neither 
CA1910138,LOS ANGELES WORLD AIRPORTS,NTNC,D1,TD,LOS ANGELES  ,GW,,,Neither 
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,C,D4,T2,LOS ANGELES  ,SWP,34.10548135,-118.0900266,SWP
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,C,D3,T3,LOS ANGELES  ,SW,34.18932467,-118.1276549,SWP
CA1910142,GSWC-SAN DIMAS,C,D5,T2,LOS ANGELES  ,SWP,34.09761718,-117.8239467,SWP
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,GW,,,Neither 
CA1910144,SAN GABRIEL COUNTY WD,C,D3,T2,LOS ANGELES  ,GW,,,Neither 
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",C,D5,T5,LOS ANGELES  ,SWP,34.02312407,-118.4815294,SWP
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,C,D2,TD,LOS ANGELES  ,SWP,33.91022716,-118.231594,SWP
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP,33.80286847,-118.1680653,SWP
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910153,SOUTH MONTEBELLO IRRIGATION DIST.,C,D2,T2,LOS ANGELES  ,GW,,,Neither 
CA1910154,CITY OF SOUTH PASADENA,C,D4,T2,LOS ANGELES  ,SWP,34.11023347,-118.1572307,SWP
CA1910155,GSWC - SOUTHWEST,C,D5,T2,LOS ANGELES  ,SWP,33.90587186,-118.3152446,SWP
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",C,D4,T4,LOS ANGELES  ,SWP,34.07903486,-118.4002366,SWP
CA1910157,SUNNY SLOPE WATER CO.,C,D3,T3,LOS ANGELES  ,GW,,,Neither 
CA1910158,STERLING MUTUAL WATER COMPANY,C,D1,There are no treatment plants,LOS ANGELES  ,GW,,,Neither 
CA1910159,TRACT 180 MUTUAL WATER CO.,C,D3,TD,LOS ANGELES  ,GW,,,Neither 
CA1910160,TRACT 349 MUTUAL WATER CO.,C,D3,TD,LOS ANGELES  ,GW,,,Neither 
CA1910161,LIBERTY UTILITIES - LYNWOOD,C,D4,T2,LOS ANGELES  ,SWP,33.89989008,-118.1940885,SWP
CA1910163,VALENCIA HEIGHTS WATER CO.,C,D3,T2,LOS ANGELES  ,SWP,34.06000043,-117.8680052,SWP
CA1910165,VALLEY VIEW MUTUAL WATER CO.,C,D2,TD,LOS ANGELES  ,GW,,,Neither 
CA1910166,VALLEY WATER CO.,C,D3,T3,LOS ANGELES  ,SWP,34.19625435,-118.1945946,SWP
CA1910167,"VERNON-CITY, WATER DEPT.",C,D4,TD,LOS ANGELES  ,SWP,34.00217342,-118.216219,SWP
CA1910169,WALNUT PARK MUTUAL WATER CO.,C,D3,TD,LOS ANGELES  ,GW,,,Neither 
CA1910173,"WHITTIER-CITY, WATER DEPT.",C,D4,T4,LOS ANGELES  ,GW,,,Neither 
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,C,D5,TD,LOS ANGELES  ,GW,,,Neither 
CA1910179,"BURBANK-CITY, WATER DEPT.",C,D5,T4,LOS ANGELES  ,SWP,34.18790773,-118.323463,SWP
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,C,D3,T1,LOS ANGELES  ,SWP,34.46600657,-118.6648556,SWP
CA1910186,CAL-AM WATER COMPANY - DUARTE,C,D4,TD,LOS ANGELES  ,GW,,,Neither 
CA1910189,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 1,C,D3,There are no treatment plants,LOS ANGELES  ,GWP,,,Neither 
CA1910191,"NORWALK - CITY, WATER DEPT.",C,D4,T1,LOS ANGELES  ,SWP,33.89798009,-118.0799067,SWP
CA1910194,ROWLAND WATER DISTRICT,C,D5,There are no treatment plants,LOS ANGELES  ,SWP,33.97967222,-117.90811,SWP
CA1910195,GSWC - HOLLYDALE,C,D2,T2,LOS ANGELES  ,GW,,,Neither 
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,C,D4,T5,LOS ANGELES  ,GW,,,Neither 
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,C,D1,There are no treatment plants,LOS ANGELES  ,SWP,34.08034499,-117.8539678,SWP
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",C,D2,T2,LOS ANGELES  ,SWP,34.56196304,-117.9364607,SWP
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,C,D4,T1,LOS ANGELES  ,SWP,34.0642612,-118.7041143,SWP
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,C,D5,T4,LOS ANGELES  ,SWP,34.03904555,-117.9240147,SWP
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,C,D5,T1,LOS ANGELES  ,SWP,33.9014263,-118.0958986,SWP
CA1910212,GSWC-SOUTH ARCADIA,C,D3,T2,LOS ANGELES  ,GW,,,Neither 
CA1910213,"TORRANCE-CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP,33.83504798,-118.3349636,SWP
CA1910218,LA HABRA HEIGHTS CWD,C,D2,TD,LOS ANGELES  ,SWP,33.96020962,-117.9509794,SWP
CA1910223,GSWC-SOUTH SAN GABRIEL,C,D4,T3,LOS ANGELES  ,SWP,n/a,n/a,Neither 
CA1910225,LAS VIRGENES MWD,C,D5,T4,LOS ANGELES  ,SW,34.11142725,-118.7509335,SWP
CA1910234,WALNUT VALLEY WATER DISTRICT,C,D5,There are no treatment plants,LOS ANGELES  ,SWP,34.00811721,-117.834501,SWP
CA1910238,LOCKHEED MARTIN SKUNK WORKS,NTNC,D1,TD,LOS ANGELES  ,GW,,,Neither 
CA1910239,"LAKEWOOD - CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,GW,,,Neither 
CA1910240,SANTA CLARITA VALLEY WATER AGENCY,C,D5,T5,LOS ANGELES  ,SW,34.43934878,-118.5552587,SWP
CA1910241,LIBERTY UTILITIES - MESA CREST,C,D2,There are no treatment plants,LOS ANGELES  ,SWP,34.21384631,-118.1845564,SWP
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,C,D2,T2,LOS ANGELES  ,GW,,,Neither 
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,C,D2,T2,LOS ANGELES  ,SWP,34.61582762,-118.2974212,SWP
CA1910244,GREEN VALLEY CWD,C,D2,T1,LOS ANGELES  ,GW,,,Neither 
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",C,D4,There are no treatment plants,LOS ANGELES  ,SWP,33.93051848,-118.0626342,SWP
CA1910246,LAND PROJECTS MUTUAL WATER CO.,C,D2,TD,LOS ANGELES  ,GW,,,Neither 
CA1910248,LOS ANGELES CWWD 37-ACTON,C,D2,T2,LOS ANGELES  ,SWP,34.48528936,-118.1901093,SWP
CA1910249,WHITE FENCE FARMS MWC NO. 1,C,D2,T2,LOS ANGELES  ,SWP,34.63830834,-118.1685162,SWP
CA1910301,ANTELOPE VALLEY INDIAN MUSEUM STATE PARK,NC,D1,T1,LOS ANGELES  ,GW,,,Neither 
CA1910303,ANTELOPE VALLEY POPPY RESERVE STATE PARK,NC,D1,T2,LOS ANGELES  ,SW,n/a,n/a,Neither 
CA1910305,QUAIL CANYON SEA,NC,NR,TD,LOS ANGELES  ,GW,,,Neither 
CA1910443,"LOS ANGELES, CITY OF - CASTAIC PWR PLANT",NTNC,D1,T2,LOS ANGELES  ,SW,n/a,n/a,Neither 
CA1910604,"DWR. VISTA DEL LAGO VISITOR CTR,VAQUERRO",NC,NR,T2,LOS ANGELES  ,SW,n/a,n/a,Neither 
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,C,D1,There are no treatment plants,LOS ANGELES  ,GW,,,Neither 
CA1990001,WEST BASIN MUNICIPAL WATER DISTRICT,NP,,There are no treatment plants,LOS ANGELES  ,SW,33.92856522,-118.4446309,SWP
CA1990002,"LONG BEACH, CITY OF",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990003,WATER REPLENISHMENT DISTRICT,NP,,Missing treatment classification in SDWIS,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990004,WALNUT VALLEY WD,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990005,LOS ANGELES COUNTY SANITATION DISTRICT,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990006,CITY OF LOS ANGELES. DWP,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990007,LOS ANGELES COUNTY DPW,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990008,"GLENDALE, CITY OF",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990009,UPPER SAN GABRIEL MWD,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990010,"PASADENA, CITY OF",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990011,"POMONA, CITY OF",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990012,"CAL POLY, POMONA",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990013,"AVALON, CITY OF",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990015,METROPOLITAN TRANSPORTATION AGENCY,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990017,CASTAIC LAKE WATER AGENCY,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990018,SCVWA-GENERAL ORDER SERVICE AREA,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990019,"LANCASTER, CITY OF (RECYCLED WATER)",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990020,"LA PAZ, MALIBU (RECYCLED WATER)",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990021,MALIBU LUMBER (RECYCLED WATER),NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990022,LOS ANGELES BUREAU OF SANITATION,NP,,Missing treatment classification in SDWIS,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990023,CITY OF DOWNEY,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990024,USC WRIGLEY MARINE SCIENCE CENTRE,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990025,CITY OF MALIBU,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990026,METROPOLITAN WATER DISTRICT OF SO. CAL.,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990027,"PARADISE COVE LAND COMPANY, LLC",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990028,CITY OF LYNWOOD,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990029,SCVWA-VISTA CANYON FACTORY SERVICE AREA,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990030,DESCANSO GARDENS FOUNDATION,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1990031,MALIBU COUNTRY CLUB,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995000,CENTRAL BASIN MUNICIPAL WATER DISTRICT,NP,,There are no treatment plants,LOS ANGELES  ,SW,33.93840331,-118.1137501,SWP
CA1995001,LAS VIRGENES MUNICIPAL WATER DISTRICT,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995003,"BURBANK, CITY OF - RECLAMATION",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995004,"SANTA MONICA, CITY OF - RECLAMATION",NP,,Missing treatment classification in SDWIS,LOS ANGELES  ,GW,n/a,n/a,Neither 
CA1995005,"CERRITOS, CITY OF",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995006,CITY OF TORRANCE,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995009,NEWHALL RANCH COMPANY,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995010,LA/GLENDALE WATER RECLAMATION PLANT,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995011,RANCHO MALIBU TENATIVE TRACT 46277,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995013,ROWLAND WATER DISTRICT,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995014,CITY OF PALMDALE (RECYCLED WATER),NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995015,PALMDALE WATER DISTRICT (RECYCLED WATER),NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995016,SUBURBAN WATER SYSTEM (RECYCLED WATER),NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995017,FOOTHILL MWD (RECYCLED WATER),NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995018,"SANTA CATALINA ISLAND COMPANY, INC. (REC",NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995019,CITY OF  SANTA CLARITA,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
CA1995021,SAN GABRIEL VALLEY WC - RECYCLED WATER,NP,,There are no treatment plants,LOS ANGELES  ,,n/a,n/a,Neither 
,,,,,,,,,Neither 
CA4000200,BASSI RANCH MUTUAL WATER CO.,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000202,EDNA VALLEY RANCH EAST,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000203,IRISH HILLS MUTUAL WATER CO,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000205,TIGER WATER SUPPLY,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000206,LAUREATE WATER COMPANY,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000208,"SPEEDLING, INC",NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000209,BALL TAGAWA GROWERS,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000210,CRESTON COUNTRY STORE,NC,NR,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000211,GREENHEART FARMS,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000213,TOYOTA SAN LUIS OBISPO,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000214,BARON CANYON MUTUAL WATER CO.,C,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000216,TANK FARM BUSINESS PARK,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000221,LAETITIA VINEYARD & WINERY INC,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000222,AVILA BEACH COMMUNITY SERVICES DISTRICT,C,D1,There are no treatment plants,SAN LUIS OBISPO  ,SWP,35.17881018,-120.7282948,SWP
CA4000224,PRECISION MUTUAL WATER COMPANY,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000226,PACIFIC DUNES RANCH,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000230,CANYON CREST MUTUAL BENEFIT WC,C,D1,There are no treatment plants,SAN LUIS OBISPO  ,SWP,35.13560258,-120.5593212,Neither 
CA4000501,HALCYON WATER SYSTEM,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000506,WOODLAND PARK MUTUAL WATER CO,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000507,GARDEN FARMS C.W.D.,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000523,S & T MUTUAL WATER COMPANY,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000554,GREEN RIVER MUTUAL WATER CO.,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000555,GUADALUPE COOLING COMPANY,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000563,HIGUERA APARTMENTS,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000568,SAN SIMEON CSD,C,D1,T2,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000589,PG&E,NTNC,D1,T2,SAN LUIS OBISPO  ,SW,n/a,n/a,Neither 
CA4000590,COUNTY OF MONTEREY-LAKE NACIMIENTO,NTNC,D1,T2,SAN LUIS OBISPO  ,GU,,,Neither 
CA4000598,CUYAMA LANE WATER COMPANY,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000604,PARAGON TRIANGLE WATER SUPPLY,NTNC,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000620,USASA-POM ENCLAVE - CAMP ROBERTS,NTNC,D1,TD,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000623,MUTUAL WATER ASSOCIATION,NTNC,D1,There are no treatment plants,SAN LUIS OBISPO  ,GW,,,Neither 
CA4000631,ALMIRA WATER ASSOCIATION,C,D1,T1,SAN LUIS OBISPO  ,GW,,,Neither 
